Fight,Name,Job,DPS,Rank,patch_number
Dancing Green,Searth Stormcurse,blackmage,24886.013693177,3,7.2
Dancing Green,Riku Thedawn,machinist,25086.655097719,9,7.2
Dancing Green,Melcena Sedai,samurai,26161.343744238002,3,7.2
Dancing Green,Katherine Zane,viper,32156.115314955,70,7.2
Sugar Riot,Searth Stormcurse,blackmage,24125.733872239,50,7.2
Sugar Riot,Melcena Sedai,samurai,23000.816836092,24,7.2
Sugar Riot,Riku Thedawn,dancer,17421.762621275,21,7.2
Sugar Riot,Katherine Zane,viper,24682.733514279,49,7.2
Brute Abombinator,Searth Stormcurse,blackmage,29130.134243379,13,7.2
Brute Abombinator,Riku Thedawn,machinist,26973.339685927,18,7.2
Brute Abombinator,Melcena Sedai,samurai,30616.007901697,34,7.2
Brute Abombinator,Katherine Zane,viper,29312.596654125,12,7.2
Dancing Green,Amarushaya Rakashi,darkknight,20199.033346255,46,7.2
Dancing Green,Nora Light,warrior,20373.506099321,58,7.2
Dancing Green,Amarushaya Rakashi,darkknight,40572.5,70,7.2
Dancing Green,Atori Kan,scholar,12677.274564305,41,7.2
Dancing Green,Blucz Ludenberg,whitemage,16597.184167333,80,7.2
Dancing Green,Atori Kan,scholar,29274.5,78,7.2
Dancing Green,Ninjax Ackerman,summoner,25055.663419744,27,7.2
Dancing Green,Hana Crow,samurai,27041.096434606,4,7.2
Dancing Green,Ohhyo Hyohyo,dancer,22984.545087139,57,7.2
Sugar Riot,Ember Roux,paladin,15848.301030141,62,7.2
Sugar Riot,Natsumi Ao,warrior,13457.68964961,3,7.2
Sugar Riot,Ember Roux,paladin,29306,19,7.2
Sugar Riot,Charlotte Smokinghot,astrologian,9285.0445368215,37,7.2
Sugar Riot,Ketsuna Dango,sage,10852.274493032,29,7.2
Sugar Riot,Charlotte Smokinghot,astrologian,20137.3,38,7.2
Sugar Riot,Alexander Storm,bard,18030.434304072,62,7.2
Sugar Riot,Leih Tarik,blackmage,20940.698639866,4,7.2
Sugar Riot,Miss Winters,dragoon,25556.983305536,93,7.2
Sugar Riot,Akagami Haibhailie,viper,23333.549384504,20,7.2
Dancing Green,Shikono Mao,darkknight,20407.011871491,53,7.2
Dancing Green,Haze Degurechaff,paladin,20620.841410658,67,7.2
Dancing Green,Shikono Mao,darkknight,41027.9,72,7.2
Sugar Riot,Shikono Mao,darkknight,17961.897535305,92,7.2
Sugar Riot,Haze Degurechaff,paladin,15599.77666297,55,7.2
Sugar Riot,Shikono Mao,darkknight,33561.7,91,7.2
Brute Abombinator,Shikono Mao,darkknight,19413.111114136,33,7.2
Brute Abombinator,Haze Degurechaff,paladin,18712.80906422,20,7.2
Brute Abombinator,Shikono Mao,darkknight,38125.9,29,7.2
Dancing Green,Forte Soleil,astrologian,11422.701312442,23,7.2
Dancing Green,Qina Vivi,sage,14955.846474574,43,7.2
Dancing Green,Forte Soleil,astrologian,26378.5,41,7.2
Sugar Riot,Forte Soleil,astrologian,7983.0945849218,9,7.2
Sugar Riot,Qina Vivi,sage,11873.842226366,57,7.2
Sugar Riot,Forte Soleil,astrologian,19856.9,32,7.2
Brute Abombinator,Forte Soleil,astrologian,10437.574586062,7,7.2
Brute Abombinator,Qina Vivi,sage,13169.051151858,12,7.2
Brute Abombinator,Forte Soleil,astrologian,23606.6,6,7.2
Dancing Green,Tomomo Bloode,blackmage,27596.01160496,14,7.2
Dancing Green,Syznrael Kiendelfisnl,machinist,28306.854876637,67,7.2
Dancing Green,Pink Papaya,samurai,29291.946118843,21,7.2
Dancing Green,Genevive Greystone,reaper,28285.724762578,29,7.2
Sugar Riot,Tomomo Bloode,blackmage,20931.659023093,4,7.2
Sugar Riot,Syznrael Kiendelfisnl,machinist,22100.410284922,67,7.2
Sugar Riot,Pink Papaya,samurai,24795.241107437,60,7.2
Sugar Riot,Genevive Greystone,reaper,21196.6287475,17,7.2
Brute Abombinator,Tomomo Bloode,blackmage,30505.456138491,40,7.2
Brute Abombinator,Genevive Greystone,dragoon,28205.878637796,34,7.2
Brute Abombinator,Syznrael Kiendelfisnl,machinist,25103.36399208,0,7.2
Brute Abombinator,Pink Papaya,samurai,31284.792088638,49,7.2
Brute Abombinator,Delu Sional,paladin,19240.024186539,38,7.2
Brute Abombinator,Arturio Cosades,warrior,18805.522089112,22,7.2
Brute Abombinator,Delu Sional,paladin,38045.5,38,7.2
Brute Abombinator,Kaien Morgant,whitemage,12764.698235139,3,7.2
Brute Abombinator,Narmora Dracenda,sage,15113.117418087,64,7.2
Brute Abombinator,Kaien Morgant,whitemage,27877.8,19,7.2
Brute Abombinator,Matthew Lowes,ninja,27672.715316881,27,7.2
Brute Abombinator,Mini Syndra,summoner,25251.719889649,16,7.2
Brute Abombinator,Minako Izayoi,samurai,32441.057270936,75,7.2
Brute Abombinator,Yukii Naria,dancer,22083.649144023,29,7.2
